33;Extraindo a base geradora de um subespaço. Exercício 2;https://www.youtube.com/watch?v=5kAQ_r1yWXg&list=PLE6qFDd4x9w_Q3Dsh6j2i6Q1IxSyvyTnC&index=33
34;Extraindo a base geradora de um subespaço. Exercício 3;https://www.youtube.com/watch?v=ELo65Qjv5Dg&list=PLE6qFDd4x9w_Q3Dsh6j2i6Q1IxSyvyTnC&index=34
35;Extraindo a base geradora de um subespaço. Exercício 4;https://www.youtube.com/watch?v=FUOxfqt8zrM&list=PLE6qFDd4x9w_Q3Dsh6j2i6Q1IxSyvyTnC&index=35
36;Como extrair uma base geradora de um conjunto de vetores;https://www.youtube.com/watch?v=shH9uTczXDI&list=PLE6qFDd4x9w_Q3Dsh6j2i6Q1IxSyvyTnC&index=36
37;Subespaço gerado a partir de um conjunto de vetores;https://www.youtube.com/watch?v=ZRuJXCG2CpI&list=PLE6qFDd4x9w_Q3Dsh6j2i6Q1IxSyvyTnC&index=37
38;Mudança de base geradora;https://www.youtube.com/watch?v=muA2fcZGQXs&list=PLE6qFDd4x9w_Q3Dsh6j2i6Q1IxSyvyTnC&index=38
39;Mudança de base sem uso de matriz inversa;https://www.youtube.com/watch?v=U55o4HTmPF0&list=PLE6qFDd4x9w_Q3Dsh6j2i6Q1IxSyvyTnC&index=39
40;Mudança de base . Vetor com 3 componentes;https://www.youtube.com/watch?v=Qta17OWjsFs&list=PLE6qFDd4x9w_Q3Dsh6j2i6Q1IxSyvyTnC&index=40
41;Dedução da Fórmula Matriz Mudança de base;https://www.youtube.com/watch?v=4bc1We6Akkc&list=PLE6qFDd4x9w_Q3Dsh6j2i6Q1IxSyvyTnC&index=41
42;Mudança de Base de um Vetor com a Matriz Mudança de base;https://www.youtube.com/watch?v=3F3E8DcivKg&list=PLE6qFDd4x9w_Q3Dsh6j2i6Q1IxSyvyTnC&index=42
43;Mudança de base demonstrado graficamente;https://www.youtube.com/watch?v=9UozHl91Zdg&list=PLE6qFDd4x9w_Q3Dsh6j2i6Q1IxSyvyTnC&index=43
44;Introdução a Transformação Linear;https://www.youtube.com/watch?v=O3rou_UUIIg&list=PLE6qFDd4x9w_Q3Dsh6j2i6Q1IxSyvyTnC&index=44
45;Transformação Linear;https://www.youtube.com/watch?v=h96mnXdcsaI&list=PLE6qFDd4x9w_Q3Dsh6j2i6Q1IxSyvyTnC&index=45
46;Transformação Linear;https://www.youtube.com/watch?v=ZB28kpo0VTQ&list=PLE6qFDd4x9w_Q3Dsh6j2i6Q1IxSyvyTnC&index=46
47;Propriedades da Transformação Linear;https://www.youtube.com/watch?v=xYAbFnh4Rco&list=PLE6qFDd4x9w_Q3Dsh6j2i6Q1IxSyvyTnC&index=47
48;Propriedades da Transformação Linear;https://www.youtube.com/watch?v=6EM6dBEGc-g&list=PLE6qFDd4x9w_Q3Dsh6j2i6Q1IxSyvyTnC&index=48
49;Dada imagem, ache a Transformação Linear;https://www.youtube.com/watch?v=aera-zZlBMs&list=PLE6qFDd4x9w_Q3Dsh6j2i6Q1IxSyvyTnC&index=49
50;Como obter a lei de uma Transformação Linear;https://www.youtube.com/watch?v=igvfXiYiwAY&list=PLE6qFDd4x9w_Q3Dsh6j2i6Q1IxSyvyTnC&index=50
51;Como obter a lei de uma Transformação Linear;https://www.youtube.com/watch?v=inBnKDHEJ2s&list=PLE6qFDd4x9w_Q3Dsh6j2i6Q1IxSyvyTnC&index=51
